INVALID ACTOR Actor 	id = bfebd69b-c0b5-434a-8229-b8c007f0437d	name = Efrem Zimbalist~Jr.                               	dob = 1918    
ACTOR DNE    Actor 	id = a6fc41ec-e4e0-46d8-b9d8-9495069e04cc	name = Scott Sunderland                                  	dob = null    
ACTOR DNE    Actor 	id = bd81cc01-c880-49a6-8485-085e72f84f9d	name = Iris Hoey                                         	dob = null    
ACTOR DNE    Actor 	id = c3b4633e-b712-4574-9b86-6086df10d4f3	name = Ronald Culver                                     	dob = null    
ACTOR DNE    Actor 	id = 55e5458e-d10e-4149-8de2-865b942c2f5d	name = Edith Evans                                       	dob = null    
ACTOR DNE    Actor 	id = c170c31f-acde-49f3-8fca-b77d0b90f909	name = Margaret Rurtherford                              	dob = null    
ACTOR DNE    Actor 	id = 30d9a0d4-0fc1-47d7-a291-29738f7aab04	name = Doroty Tutin                                      	dob = null    
ACTOR DNE    Actor 	id = fb23817a-b91e-4192-9198-c0b0509d7122	name = Martin Miller                                     	dob = null    
ACTOR DNE    Actor 	id = ab2585cb-eb26-4a2b-9fdf-477cc2f40bcd	name = Alastair Sim                                      	dob = null    
ACTOR DNE    Actor 	id = 524db5c3-995c-478a-a262-44bface9ac82	name = Vittorio deSics                                   	dob = null    
ACTOR DNE    Actor 	id = 66454552-7289-492f-89a4-7e0450cb0665	name = Margaret Rutherford                               	dob = null    
ACTOR DNE    Actor 	id = 1585358f-b8c7-4a16-8e75-151a551a6e48	name = Louis Jordon                                      	dob = null    
ACTOR DNE    Actor 	id = 276fb806-217e-4107-a9d2-59c2695af99f	name = Linda Chistian                                    	dob = null    
ACTOR DNE    Actor 	id = fc37ce81-cd7f-43f9-a718-0cdbeb0f1730	name = David Frost                                       	dob = null    
ACTOR DNE    Actor 	id = 71fa693d-7d4c-4f7b-acb2-250f9ac5b5e7	name = Joan Benham                                       	dob = null    
ACTOR DNE    Actor 	id = 49a72972-4869-41c6-8bb4-19372d52c276	name = Lance Percival                                    	dob = null    
ACTOR DNE    Actor 	id = 248bb258-f855-4af3-b395-a84018012922	name = Martin Miller                                     	dob = null    
ACTOR DNE    Actor 	id = 83019f94-99c4-4d8a-918d-8df2ef631f0c	name = Richard Griffiths                                 	dob = null    
ACTOR DNE    Actor 	id = 5e956dbb-76c7-4f20-bfdf-2814d07bc9d6	name = Tony Haygarth                                     	dob = null    
ACTOR DNE    Actor 	id = eb7df418-1736-4d6f-bf20-03fccf8afb03	name = Liz Smith                                         	dob = null    
ACTOR DNE    Actor 	id = 3ed92ff6-58af-41e4-8b4b-48ad21fd479a	name = John Normington                                   	dob = null    
ACTOR DNE    Actor 	id = 24bf8038-d845-436f-8a10-86394d110d6a	name = s a                                               	dob = null    
ACTOR DNE    Actor 	id = 68c7f589-fd3a-4b82-ae7d-ac07d860b293	name = sa                                                	dob = null    
ACTOR DNE    Actor 	id = 4279ab0e-dbbd-44a6-a8a7-4dc268f1f11a	name = sa                                                	dob = null    
ACTOR DNE    Actor 	id = 3da08ed8-e1f5-4414-86ca-0803c8a15310	name = sa                                                	dob = null    
ACTOR DNE    Actor 	id = 0b8242b1-5bf1-4741-9732-4ac818f2521c	name = Vicki Jenson                                      	dob = null    
ACTOR DNE    Actor 	id = 5fb6efd6-772c-4e86-94cc-a4b4b34575fd	name = Gibson Frazier                                    	dob = null    
ACTOR DNE    Actor 	id = 2fe6130b-78d6-4a0e-8b14-073781088a71	name = Len Cariou                                        	dob = null    
ACTOR DNE    Actor 	id = 5f750bcb-2172-44bb-9aaf-66303b69b35d	name = Lise Hilboldt                                     	dob = null    
ACTOR DNE    Actor 	id = faa1743e-57e9-4f13-8911-0be2b89b55cd	name = Joey Bishop                                       	dob = null    
ACTOR DNE    Actor 	id = 61bafd83-1427-420d-bf04-931a8931f54e	name = Ally Sheedy                                       	dob = null    
ACTOR DNE    Actor 	id = 097c4e92-ace1-4e7e-bfb3-b29cdd56d5c8	name = Anthony LaPaglia                                  	dob = null    
ACTOR DNE    Actor 	id = 13f44a67-f483-4fab-bf31-82f7c46de07f	name = Julie Bovassa                                     	dob = null    
ACTOR DNE    Actor 	id = 40cd1f9c-055e-4c1e-b325-801a83b11730	name = Dylan Walsh                                       	dob = null    
ACTOR DNE    Actor 	id = f7ebe79d-da8d-4af8-80c5-682795b75c8b	name = Ione Skye                                         	dob = null    
ACTOR DNE    Actor 	id = 01cdfa2d-81bc-4d27-8fcc-d98cfb54baee	name = Faraizu Baik                                      	dob = null    
ACTOR DNE    Actor 	id = e9ec2fac-f62b-420e-bd2c-23f21f382266	name = Angel Avilea                                      	dob = null    
ACTOR DNE    Actor 	id = f7557564-2844-4447-9924-113561b7d721	name = Seidy Lopez                                       	dob = null    
ACTOR DNE    Actor 	id = f655dc44-1170-49bb-a9b6-54acac22c64a	name = Jacob Vargas                                      	dob = null    
